System,Disease (Outcome),Causes (4),Risk factors (5),Clinical features (1),Progression (6),Diagnosis (2),Treatment (3),10m,5m,3m,Net
Hematology,Fe deficiency anemia,Increased blood loss & Requirement (Pregnancy & lactation ; Infancy & childhood) ; Decreased dietary intake (Anorexia & socio economic status) & Absorbtion (Gastric bypass),,Anemia (Pallor ; Fatigue ; Palpitations ; Dyspnea) ; Glossitis ; Pica ; Cheliosis ; Koilonychia,MR & High output heart failure,Labs (Decreased RBC ; Hb & red cell indices ; Fe ; TIBC & Transferrin) ; Peripheral blood smear (Microcytic hypochromic anemia),Fe supplements (Oral/IV) & Blood transfusion,,,,
Hematology,Sideroblastic anemia,Defective mitochondrial function & heme synthesis,,Hepato spleno megaly & Cardiac arrythmias ,Infections ; ALL ; Hemo chromatosis,Labs (Decreased RBC indices) ; Peripheral blood smear (Macro/ Microcytic anemia ; An isocytosis ; Poikilo cytosis ; Pappen heimer bodies),Meds (B6 & B9 supplements ; Fe chelators),,,,
Hematology,Anemia of chronic diseases,Systemic inflammation,Age,Hypoxia ; Pallor ; Fatigue ; Dyspnea ; Cardiorespiratory compromise,Peripheral blood smear (Normocytic normo chromic ; Increased WBC) ; Labs (Elevated ESR) ; Normal blood cell indices ,Meds (Fe supplements ; EPO) & Blood transfusion,,,,,
Hematology,Megalo blastic anemia,B9 (Malabsrobtion ; Inadequate dietary intake  ; Demand) & B12 (Strict veggies ; Gastric bypass & diseases),,Jaundice ; Spleno megaly & Neuropathy ,,RBC indices (Normal MCHC) ; PBS (Hypersegmented neutrophils ; Anisocytosis ; Poikilocytosis ; Decreased WBC) ; Labs (Increased bile pigments ; LDH ; Homocysteine/Methylmalonate & Decreased haptoglobin),B9 & B12 supplementation,,,,
Hematology,Pernicious anemia,Auto antibodies against CIF,Disease states (Autoimmune diseases),B12 deficiency symptoms,,Blood tests (CIF & B12 levels),B12 supple mentation,,,,
Hematology,Autoimmune hemolytic anemia,Auto antibodies against RBC ; Warm (Extra vascular hemolysis & IgG-C3 association) ; Cold (Intra vascular hemolysis ; IgM-C3 association),Weather ; Drugs (Alpha-Methyl DOPA & Quinidine) ; Infections ; Malignancy,Jaundice ; Renal failure ; Back & leg pain ; Raynaud phenomenon,,Labs (Increased LDH ; CB & Decreased Haptoglobin) ; PBS (Spherocytosis) ; Serology (Antibody testing) ; RBC indices (Increased MCV & Decreased PCV),Meds (Cortico steroids ; Rituximab ; Fludarabine ; Immuno suppres sants) & Surgery ,,,,
Hematology,PNH (Paroxysmal nocturnal hemoglobin uria),PIGA mutation ? GPI decreased/Absent ; Decreased CD55 & CD59? Decreased DAFR,Infections ; Surgery ; Blood transfusions ; heavy exercise,“Dark urine in the morning” ; Thrombosis ; Hemolysis,,PBS (Normocytic normochromic anemia ; Poikilocytosis ; Anisocytosis) ; Labs (Increased Bilirubin ; LDH & Decreased Haptoglobin) ; Serology  (Coombs +),Meds (Eculizumab ; Anticoagulants ; Thrombolytics ; Fe ; B9 & Immunosuppressants) ; Surgery & Blood transfusion,,,,
Hematology,Hereditary sphero cytosis,Gene mutations ? Extra vascular hemolysis ; AD,Common in Northern europeans,Jaundice ; Spleno megaly ; Anemia ,Megalo blastic anemia,RBC indices (Decreased/Increased MCV ; Increased MCHC) ; Labs (Increased hemolytic markers) ; PBS (Sphero cytes),Surgery ; Phototherapy ; B9 supplementation & transfusion,,,,
Hematology,G6PD deficiency,XR ; ROS production ; Fava benas ingestion ; Infections ; Drugs (Anti-TB drugs ; Sulphonamides),African-American descent,Asympto matic ;  Fever ; Hemolysis,,PBS (Heinz bodies ; Bite cells ; Reticulocytosis) ; Increased hemolytic enzymes ; G6PD assay,Meds (B9 supplements) ; Eliminate triggers,,,,
Hematology,PK deficiency,ATP deficiency & Ineffective erythro poiesis,African-American descent,Anemia ; Jaundice ; Spleno megaly,Megalo blastic anemia ; Cholestasis,Labs (Increased hemolytic enzymes & 2;3 BPG) ; PBS (Reticulocytosis),Surgery ; Transfusions; Supplements,,,,
